Thread Size = 2,
5000,1899
10000,1782
15000,1524
20000,1899
25000,1826
30000,1583
35000,1798
40000,1691
45000,1574
50000,1436
,
Thread  Size = 4,
5000,1868
10000,1663
15000,2234
20000,2822
25000,1473
30000,1953
35000,1377
40000,1346
45000,1355
50000,1338
,
Thread Size = 8,
5000,1894
10000,1530
15000,1715
20000,1841
25000,1515
30000,1488
35000,1376
40000,1451
45000,1440
50000,1481
,
Thread Size = 16,
5000,2472
10000,1856
15000,1897
20000,1763
25000,1802
30000,1906
35000,1731
40000,1835
45000,1852
50000,2030
,
Thread Size = 32,
5000,4819
10000,2859
15000,4307
20000,3176
25000,2270
30000,2518
35000,1876
40000,2039
45000,2506
50000,2481
,
Thread Size = 64,
5000,23287
10000,3638
15000,3409
20000,3078
25000,3025
30000,2991
35000,1881
40000,1970
45000,1963
50000,2084
